image,tag1,tag2,tag3,tag4,tag5
37778320291_8b8faedd63.jpg,"('n02793495', 'barn', 0.6693666)","('n03028079', 'church', 0.12015511)","('n07802026', 'hay', 0.068022892)","('n02980441', 'castle', 0.062648356)","('n06359193', 'web_site', 0.016460599)"
37731572656_50716bfc79.jpg,"('n04456115', 'torch', 0.036010388)","('n03930313', 'picket_fence', 0.029794984)","('n03590841', ""jack-o'-lantern"", 0.027557801)","('n03457902', 'greenhouse', 0.026831117)","('n02009912', 'American_egret', 0.021324269)"
23927606608_5ee83dc5d1.jpg,"('n09428293', 'seashore', 0.40420079)","('n02894605', 'breakwater', 0.14695792)","('n09246464', 'cliff', 0.13693269)","('n04606251', 'wreck', 0.058986314)","('n02814860', 'beacon', 0.058469873)"
37746812422_15f85d1ba9.jpg,"('n03126707', 'crane', 0.69783062)","('n03240683', 'drilling_platform', 0.084043249)","('n04044716', 'radio_telescope', 0.070121385)","('n03216828', 'dock', 0.036425952)","('n03388043', 'fountain', 0.031439699)"
37779092571_d260a4b584.jpg,"('n09332890', 'lakeside', 0.3826274)","('n02859443', 'boathouse', 0.10079884)","('n09468604', 'valley', 0.049601793)","('n04532670', 'viaduct', 0.037707325)","('n02980441', 'castle', 0.032210242)"
37731510196_696f88f0e2.jpg,"('n03930313', 'picket_fence', 0.18719573)","('n03325584', 'feather_boa', 0.10929854)","('n03991062', 'pot', 0.094063222)","('n03457902', 'greenhouse', 0.076450296)","('n03534580', 'hoopskirt', 0.037805941)"
37725438936_d5d83a4ac3.jpg,"('n09332890', 'lakeside', 0.8137607)","('n03388043', 'fountain', 0.057942525)","('n09468604', 'valley', 0.032543443)","('n02980441', 'castle', 0.026610419)","('n03877845', 'palace', 0.01295352)"
37521892200_e5bc9c630f.jpg,"('n04326547', 'stone_wall', 0.30036634)","('n03743016', 'megalith', 0.10918417)","('n03733281', 'maze', 0.068697974)","('n07802026', 'hay', 0.052429568)","('n11879895', 'rapeseed', 0.022808351)"
37742052462_1ec34d5e40.jpg,"('n03891251', 'park_bench', 0.19017974)","('n03743016', 'megalith', 0.16074413)","('n02793495', 'barn', 0.12461091)","('n07802026', 'hay', 0.038058333)","('n02843684', 'birdhouse', 0.034039222)"
37110291043_ea61f5f237.jpg,"('n03733281', 'maze', 0.31897199)","('n04326547', 'stone_wall', 0.091248311)","('n11939491', 'daisy', 0.061669409)","('n03991062', 'pot', 0.055878378)","('n07714571', 'head_cabbage', 0.024073662)"
37731558646_8496627cac.jpg,"('n03930313', 'picket_fence', 0.067390971)","('n04326547', 'stone_wall', 0.056482028)","('n12985857', 'coral_fungus', 0.043621626)","('n12057211', ""yellow_lady's_slipper"", 0.02905835)","('n13052670', 'hen-of-the-woods', 0.027803693)"
37070864394_576d5c8b1b.jpg,"('n09246464', 'cliff', 0.51852417)","('n09399592', 'promontory', 0.3087309)","('n09468604', 'valley', 0.058113471)","('n09428293', 'seashore', 0.047464043)","('n04326547', 'stone_wall', 0.0092771938)"
37070895004_5a4ba20a09.jpg,"('n09399592', 'promontory', 0.55335498)","('n09246464', 'cliff', 0.2011326)","('n09332890', 'lakeside', 0.10406943)","('n09468604', 'valley', 0.037905648)","('n09193705', 'alp', 0.027763402)"
23926259758_d4aefd6d97.jpg,"('n04326547', 'stone_wall', 0.26046261)","('n09468604', 'valley', 0.12886016)","('n09332890', 'lakeside', 0.10411824)","('n03733281', 'maze', 0.089854114)","('n04532670', 'viaduct', 0.059242133)"
37731562916_935c6977b7.jpg,"('n13052670', 'hen-of-the-woods', 0.60989958)","('n07734744', 'mushroom', 0.19627687)","('n13054560', 'bolete', 0.024866926)","('n04326547', 'stone_wall', 0.021899881)","('n12985857', 'coral_fungus', 0.021037301)"
37069348714_76558857fa.jpg,"('n03792972', 'mountain_tent', 0.12980205)","('n02843684', 'birdhouse', 0.06965524)","('n03218198', 'dogsled', 0.068383947)","('n02793495', 'barn', 0.049480602)","('n04532670', 'viaduct', 0.048551541)"
37515637930_948618e9e2.jpg,"('n03837869', 'obelisk', 0.44733974)","('n03903868', 'pedestal', 0.30641443)","('n04486054', 'triumphal_arch', 0.11501187)","('n04458633', 'totem_pole', 0.048533566)","('n02892201', 'brass', 0.021804851)"
37742061622_77e310e6a6.jpg,"('n03877845', 'palace', 0.6468721)","('n03788195', 'mosque', 0.075337231)","('n03028079', 'church', 0.061918437)","('n02825657', 'bell_cote', 0.047331069)","('n03781244', 'monastery', 0.042091105)"
37780085881_eb90e4df5f.jpg,"('n04326547', 'stone_wall', 0.48275957)","('n03733281', 'maze', 0.051101655)","('n09246464', 'cliff', 0.037764434)","('n04417672', 'thatch', 0.028901419)","('n11879895', 'rapeseed', 0.028445369)"
23927357328_f5576b641c.jpg,"('n02980441', 'castle', 0.25557172)","('n09468604', 'valley', 0.24106044)","('n09193705', 'alp', 0.16890584)","('n09332890', 'lakeside', 0.041909438)","('n09288635', 'geyser', 0.03696027)"
37521886560_10fa482384.jpg,"('n03991062', 'pot', 0.3524062)","('n11939491', 'daisy', 0.15319021)","('n03930313', 'picket_fence', 0.095807411)","('n12620546', 'hip', 0.0718126)","('n03457902', 'greenhouse', 0.050404716)"
37730352046_49dd591ab8.jpg,"('n02980441', 'castle', 0.98446077)","('n03877845', 'palace', 0.0092978077)","('n03781244', 'monastery', 0.0058429693)","('n03028079', 'church', 0.00021901786)","('n02825657', 'bell_cote', 6.8111978e-05)"
